label,n
Internal,93964
TextVersion,59922
SemanticAssertion,35131
Passage,22537
Mantra,20210
Translation,18427
Lemma,10031
Formula,4825
RitualStep,3121
QualityVerdict,2568
RoleFiller,2052
DerivedMetric,1485
PadaParallelGroup,1434
QAIssue,915
Rishi,729
FormulaFamily,720
Chandas,575
Concept,384
DomainEntity,384
DevataAscription,324
Devata,214
ScholarlyDisagreement,113
Ritual,103
RishiFamily,87
Object,41
ActionPredicate,41
Condition,36
Substance,33
Action,26
Plant,22
DeityAxis,22
Offering,21
RitualRole,20
Scholar,17
ScholarlyWork,17
Animal,15
NaturalPhenomenon,13
PhilosophicalConcept,13
Epithet,13
DeityCommunity,12
Place,11
Source,9
River,8
Metal,7
HumanConcern,7
InterpretiveClaim,6
Weapon,5
Crop,5
SocialRite,5
Tribe,5
Work,4
CosmicEntity,4
Quality,3
State,3
DeityGroup,2
